Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,https://cdn.myanimelist.net/images/anime/12/89603.jpg, TV,12, Finished Airing," Jan 8, 2018 to Mar 26, 2018"," TV Tokyo, Aniplex, Dentsu, Shueisha", Bandai Namco Pictures,," ActionAction, ComedyComedy, Sci-FiSci-Fi", 24 min. per ep., PG-13 - Teens 13 or older,,94027,28,#1099,"192,040","1,111","After the fierce battle on Rakuyou, the untold past and true goal of the immortal Naraku leader, Utsuro, are finally revealed. By corrupting the Altana reserves of several planets, Utsuro has successfully triggered the intervention of the Tendoshuu?s greatest enemy: the Altana Liberation Army. With Earth as the main battleground in this interplanetary war, Utsuro's master plan to destroy the planet?and himself?is nearly complete. An attack on the O-Edo Central Terminal marks the beginning of the final battle to take back the land of the samurai. With the Yorozuya nowhere in sight, the bakufu all but collapsed, and the Shogun missing, the people are left completely helpless as the Liberation Army begins pillaging Edo in the name of freeing them from the Tendoshuu's rule. Caught in the crossfire between two equally imposing forces, can Gintoki, Kagura, Shinpachi, and the former students of Shouyou Yoshida put aside their differences and unite their allies to protect what they hold dear?"
Koe no Katachi,A Silent Voice,https://cdn.myanimelist.net/images/anime/1122/96435.jpg, Movie,1, Finished Airing," Sep 17, 2016"," Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras", Kyoto Animation,," Award WinningAward Winning, DramaDrama", 2 hr. 10 min., PG-13 - Teens 13 or older,,1465897,18,#19,"2,109,122","80,779","As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye. Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends. Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past."
Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,https://cdn.myanimelist.net/images/anime/13/13225.jpg, OVA,110, Finished Airing," Jan 8, 1988 to Mar 17, 1997"," TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications, Wright Staff"," K-Factory, Kitty Film Mitaka Studio",," DramaDrama, Sci-FiSci-Fi", 26 min. per ep., R - 17+ (violence & profanity),,73560,10,#719,"296,054","15,278","The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli. While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang?a strong supporter of democratic ideals?has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution. As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is."
Fruits Basket: The Final,Fruits Basket: The Final Season,https://cdn.myanimelist.net/images/anime/1085/114792.jpg, TV,13, Finished Airing," Apr 6, 2021 to Jun 29, 2021"," TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN", TMS Entertainment,," DramaDrama, RomanceRomance, SupernaturalSupernatural", 23 min. per ep., PG-13 - Teens 13 or older,,194966,12,#502,"400,626","18,018","Hundreds of years ago, the Chinese Zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden?a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment. Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion."
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,https://cdn.myanimelist.net/images/anime/1776/96566.jpg, TV,14, Finished Airing," Jul 9, 2018 to Oct 8, 2018"," TV Tokyo, Aniplex, Dentsu, Shueisha", Bandai Namco Pictures,," ActionAction, ComedyComedy, Sci-FiSci-Fi", 24 min. per ep., PG-13 - Teens 13 or older,,85863,23,#1182,"177,768",998,"Following the temporary retreat of the Altana Liberation Army from the Kabuki District, the state of the war has seemingly improved. However, as the Oniwaban, Shinsengumi, and residents of the district combat the army's remnants, Edo's greatest inventor Gengai Hiraga is abducted. Responsible for causing the enemy's withdrawal by rendering their weapons useless, Gengai's nanomachine virus is now at risk of being shut down. Meanwhile, a laser capable of obliterating a planet is activated in Earth's orbit on the Liberation Army's mother ship. Another battle ensues when Shinsuke Takasugi and the rest of the Kiheitai arrive on the vessel to stop the weapon from firing. Forced to fight a war on two fronts, the Yorozuya and their allies must prevail on both sides to save Edo and the rest of the world."
Monster,,https://cdn.myanimelist.net/images/anime/10/18793.jpg, TV,74, Finished Airing," Apr 7, 2004 to Sep 28, 2005"," VAP, Shogakukan-Shueisha Productions, Nippon Television Network", Madhouse,," DramaDrama, MysteryMystery, SuspenseSuspense", 24 min. per ep., R+ - Mild Nudity,,337334,25,#149,"945,442","43,372","Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma?losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him?once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved."
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,https://cdn.myanimelist.net/images/anime/1493/124765.jpg, TV,12, Finished Airing," Jan 7, 2017 to Mar 25, 2017"," Mainichi Broadcasting System, Kodansha, DAX Production, King Records", Studio Deen,,DramaDrama, 24 min. per ep., PG-13 - Teens 13 or older,,61376,43,#1195,"176,503","3,035","Even after having risen to the utmost rank of shin'uchi, Yotarou struggles to find his own identity in the world of rakugo. Caught between his master's teachings and the late Sukeroku's unique style, his performance lacks an important ingredient?ego. And while his popularity packs the theaters, he is but one of the few; rakugo is under threat of being eclipsed. Meanwhile Yakumo, regarded by many as the last bastion of preserving the popularity of rakugo, struggles to cope with his elderly state. Even though his performances are still stellar, he fears that he is nearing his limits. His doubts grow stronger as an old friend creeps ever closer. Konatsu, for her part, attempts to raise her son as a single mother, which Yotarou is heavily opposed to. Instead, he seeks to persuade her to marry him and in turn raise her son as his own. In Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen, the curtains fall on Yotarou and Yakumo's story, tasked with restoring the near-obsolete art form as well as overcoming their internal conflicts."
86 Part 2,86 Eighty-Six Part 2,https://cdn.myanimelist.net/images/anime/1321/117508.jpg, TV,12, Finished Airing," Oct 3, 2021 to Mar 19, 2022"," Aniplex, Kadokawa, Bandai Spirits", A-1 Pictures,," ActionAction, DramaDrama, Sci-FiSci-Fi", 23 min. per ep., R - 17+ (violence & profanity),,206563,46,#522,"389,037","11,464","The disappearance of the Spearhead Squadron beyond the horizon does little to hide the intensity of the Republic of San Magnolia's endless propaganda. Vladilena Milizé continues to operate as ""Handler One,"" the commander of yet another dehumanized 86th faction's squadron in the continuous war against the Legion. On the Western Front, Shinei Nouzen and his squad are quarantined in a military base controlled by the Federal Republic of Giad, formerly known as the Giadian Empire. The newly-established government grants the saved Eighty-Six full citizenship and freedom. Housed by the president Ernst Zimmerman himself, the group meets his adoptive daughter and the last Empress, Augusta Frederica Adel-Adler. However, within the calm of this tender society, Shinei and his team feel that their purpose is on the battlefield. Before long, they are once again in the midst of the Legion's onslaught as a part of the Federacy's Nordlicht Squadron, accompanied by Augusta Frederica. But, as history repeats itself, they realize that no matter the side, death and pain on the front lines are the only comfort they know."
Shiguang Dailiren,Link Click,https://cdn.myanimelist.net/images/anime/1135/114867.jpg, ONA,11, Finished Airing," Apr 30, 2021 to Jul 9, 2021"," bilibili, BeDream", Studio LAN,," DramaDrama, SupernaturalSupernatural", 23 min. per ep., PG-13 - Teens 13 or older,,91796,37,#802,"267,208","8,531","It is said that a picture is worth a thousand words. In this case, it holds an infinite amount of secrets. These are secrets that only Cheng Xiaoshi and Lu Guang are able to find. In a small shop called ""Time Photo Studio,"" the two friends provide a special service: using their extraordinary powers that let them enter photographs, they jump into pictures brought to them by clients in order to grant their wishes. Through the eyes of the photographer, they live through the events surrounding the picture and try to decipher how to solve their client's request. But every time they jump into a picture, they take a great risk. One wrong move and they could alter the future of the person who took the picture... and possibly countless other events too. So when the events they are forced to live through in these pictures start to become personal, it will take the utmost strength to push their feelings aside and focus on accomplishing the task they were paid to do."
Shingeki no Kyojin: The Final Season,Attack on Titan: The Final Season,https://cdn.myanimelist.net/images/anime/1000/110531.jpg, TV,16, Finished Airing," Dec 7, 2020 to Mar 29, 2021"," Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise", MAPPA,," ActionAction, DramaDrama", 23 min. per ep., R - 17+ (violence & profanity),,1155042,31,#41,"1,752,501","50,649","Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps. Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls. In Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom."
